Project ID,Project Name,Street Number,Street Name,Street Type,Zip Code,City Analysis Neighborhood,Supervisor District,Project Sponsor,Total Units,Total Beds,Affordable Units,Affordable Beds,Single Room Occupancy Units,Studio Units,1bd Units,2bd Units,3bd Units,4bd Units,5+ bd Units,Family Units,Senior Units,TAY Units,Homeless Units,LOSP Units,Disabled Units,20% AMI,30% AMI,40% AMI,50% AMI,60% AMI,80% AMI,120% AMI,More than 120% AMI,Year Building Constructed,Year Affordability Began,Latitude,Longitude,Location,SF Find Neighborhoods,Current Police Districts,Current Supervisor Districts,Analysis Neighborhoods,:@computed_region_fyvs_ahh9,:@computed_region_bh8s_q3mv,:@computed_region_yftq_j783,:@computed_region_p5aj_wyqh,:@computed_region_rxqg_mtj9
2004-031,Crescent Cove,420,Berry,St,94107,Mission Bay,6,Chinatown Community Development Center / Mission Bay Housing Partners,236,0,234,0,0,84,88,62,0,0,0,234,0,0,0,0,0,0,0,0,134,100,0,0,0,2007,2007,37.77,-122.399086,POINT (-122.399086 37.77),34,1,10,4,20,310,14,2,9
1993-003,Peter Claver Community,1340,Golden Gate,Ave,94115,Western Addition,5,Catholic Charities,32,0,31,0,31,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,31,0,0,0,0,1908,1994,37.78,-122.4327164,POINT (-122.4327164 37.78),97,4,11,39,41,29490,15,9,11
2006-020,Armstrong Place,5600,3rd,St,94124,Bayview Hunters Point,10,Bridge Housing,116,0,116,0,0,12,103,1,0,0,0,1,115,0,23,23,0,0,0,0,116,0,0,0,0,2010,2011,37.73,-122.3948441,POINT (-122.39484410000001 37.73),87,2,9,1,1,58,10,3,8
1969-001,Martin Luther King-Marcus Garvey Square Cooperative Apartments,1680,Eddy,St,94115,Western Addition,5,"Martin Luther King-Marcus Garvey Square Cooperative Apartments, INC.",211,0,211,0,0,13,54,56,56,32,0,211,0,0,0,0,0,0,0,0,0,0,211,0,0,2011,2011,37.78,-122.4348602,POINT (-122.43486019999999 37.78),97,4,11,39,41,29490,15,5,11
2008-034,Excelsior Teen Center,4466-4468,Mission,St,94112,Outer Mission,11,Bernal Heights Neighborhood Center,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1913,2009,37.73,-122.4339142,POINT (-122.43391419999999 37.73),94,9,5,28,25,28861,9,7,5
2000-015,1340 Portola,1340,Portola,Dr,94127,West of Twin Peaks,7,West Bay Housing Corporation,6,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,1946,2001,37.74,-122.464653,POINT (-122.464653 37.74),49,10,8,41,40,59,1,8,4
2013-039,Clementina Towers,320 & 330,Clementina,St,94103,South of Market,6,Tenderloin Neighborhood Development Corporation,276,0,274,0,0,226,48,0,0,0,0,0,274,0,0,0,274,0,0,0,274,0,0,0,0,1971,2016,37.78,-122.4027576,POINT (-122.40275759999999 37.78),32,1,10,34,34,28856,6,2,9
1997-018,Avalon At Mission Bay (Tower 1),255,King,St,94107,Mission Bay,6,AvalonBay Communities Inc.,510,0,21,0,0,0,12,9,0,0,0,21,0,0,0,0,0,0,0,0,0,0,11,10,0,2003,2003,37.78,-122.3932495,POINT (-122.39324950000001 37.78),31,1,10,8,6,28856,6,2,9
1984-003,450 Ellis St,450,Ellis,St,94102,Tenderloin,6,"Asian, Inc.",29,0,24,0,0,3,21,0,0,0,0,24,0,0,0,0,0,0,0,0,24,0,0,0,0,1909,1986,37.79,-122.4136887,POINT (-122.41368870000001 37.79),50,6,3,21,21,28858,5,1,10
1984-005,Reardon Heights (formerly Aspen South Hills),50,Reardon,Rd,94124,Bayview Hunters Point,10,"Reardon Heights Associates, LP",82,0,82,0,0,0,30,52,0,0,0,82,0,0,0,0,0,0,0,0,16,66,0,0,0,1964,1985,37.73,-122.3766556,POINT (-122.3766556 37.73),78,2,9,1,1,58,10,3,8
1996-006,Bernal Gateway,3101,Mission,St,94110,Bernal Heights,9,Bernal Heights Neighborhood Center,55,0,55,0,0,0,9,29,13,4,0,55,0,0,0,0,0,16,15,0,12,12,0,0,0,2000,2001,37.75,-122.4177399,POINT (-122.41773990000002 37.75),53,3,2,20,19,28859,2,4,7
2008-032,Ferguson Place,1249,Scott,St,94115,Western Addition,5,Baker Places,12,12,12,12,12,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,12,0,0,0,0,1895,2005,37.78,-122.4376907,POINT (-122.4376907 37.78),97,4,11,39,41,29490,15,5,11
1987-002,Del Carlo Court,3330,Cesar Chavez,St,94110,Mission,9,Mission Housing Development Corporation,25,0,25,0,0,0,2,14,5,4,0,25,0,0,0,0,0,0,0,0,0,0,25,0,0,1992,1992,37.75,-122.4168167,POINT (-122.41681670000001 37.75),53,3,2,20,19,28859,2,4,7
1997-013,Laurel Gardens Apartments,1555,Turk,St,94115,Western Addition,5,Bethel African Methodist Episcopal Church,52,0,51,0,0,0,12,23,16,0,0,51,0,0,0,0,0,0,0,0,0,51,0,0,0,2001,2001,37.78,-122.4344864,POINT (-122.43448639999998 37.78),97,4,11,39,41,29490,15,5,11
2011-002,Arc Mercy Community,1099,Masonic,St,94117,Haight Ashbury,5,Mercy Housing California,17,0,16,0,0,16,0,0,0,0,0,16,0,0,0,0,16,0,0,0,16,0,0,0,0,1903,2017,37.77,-122.4459193,POINT (-122.4459193 37.77),25,7,11,3,9,29492,15,5,11
1989-009,525 O'Farrell Street,525,O'Farrell,St,94102,Tenderloin,6,"Asian, Inc.",26,0,25,0,0,25,0,0,0,0,0,25,0,0,0,0,0,0,0,0,5,20,0,0,0,1911,1990,37.79,-122.4134293,POINT (-122.4134293 37.79),50,6,3,21,21,28858,5,1,10
1998-021,Chinese American Citizens Alliance -S.F.,843,Clay,St,94108,Chinatown,3,Chinese American Citizens Alliance,26,0,23,0,0,0,23,0,0,0,0,23,0,0,0,0,0,0,0,0,23,0,0,0,0,1908,1999,37.79,-122.4072037,POINT (-122.40720369999998 37.79),19,6,3,8,6,28857,5,1,10
2013-024,491 31st Avenue - California Corridor,491,31st,Ave,94103,Outer Richmond,1,Mercy Housing California,75,0,74,0,0,66,8,0,0,0,0,0,74,0,0,0,74,0,0,0,74,0,0,0,0,1973,2015,37.78,-122.4915161,POINT (-122.4915161 37.78),8,8,4,29,26,55,11,6,2
1981-003,Aarti Hotel,391,Leavenworth,St,94109,Tenderloin,6,Tenderloin Neighborhood Development Corporation,40,0,40,0,40,0,0,0,0,0,0,0,0,40,40,0,0,0,0,0,40,0,0,0,0,1907,1991,37.78,-122.4146042,POINT (-122.4146042 37.78),21,5,10,36,36,28852,7,10,9
1996-007,Leland Apartments,980,Howard,St,94103,South of Market,6,TODCO Group,24,0,23,0,0,0,0,23,0,0,0,23,0,0,0,0,0,0,0,0,23,0,0,0,0,1998,1998,37.78,-122.4069824,POINT (-122.4069824 37.78),32,1,10,34,34,28853,14,2,9
1998-017,TIHDI: Female Offender Treatment and Education Program,1440,Chinook,Ct,94130,Treasure Island,6,HealthRight360,6,20,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,1960,2000,37.82,-122.3738708,POINT (-122.37387080000002 37.82),36,1,10,37,37,62,,2,9
1999-019,Maria Manor,174,Ellis,St,94102,Tenderloin,6,Tenderloin Neighborhood Development Corporation,119,0,119,0,119,0,0,0,0,0,0,0,119,0,0,0,0,0,0,0,36,83,0,0,0,2004,2004,37.79,-122.40905,POINT (-122.40905000000001 37.79),19,6,3,21,21,28857,5,1,10
