Project ID,Project Status,Project Name,Street Number,Street Name,Street Type,Zip Code,Housing Tenure,Section 415 Declaration,Entitlement Approval Date,Actual/Estimated Completion Date,Planning Case Number,Property Information Map Link,Planning Entitlements,Project Units,Affordable Units,Units Subject to Section 415,On-Site Affordable Units,Off-Site Affordable Units,Off-Site Affordable Units at This Site,SRO Units,Studio Units,1bd Units,2bd Units,3bd Units,4bd Units,30% AMI,50% AMI,55% AMI,60% AMI,80% AMI,90% AMI,100% AMI,120% AMI,150% AMI,Supervisor District,Neighborhood,Planning Neighborhood,Plan Area,Off-Site Principal Project ID,Off-Site Principal Project,Off-Site Project ID,Off-Site Project,Latitude,Longitude,Location
2003-013,(6) Complete,Odeon,150,Powell,St,94102,Ownership,On-site BMR Project,06/12/2003,11/30/2006,2003.0028,http://propertymap.sfplanning.org/?search=2003.0028,"2003.0028C,2003.0028V,2003.0028X",29,3,29,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,3,Downtown/Civic Center,Financial District/South Beach,Downtown,0,0,0,0,37.78618849,-122.4076329,POINT (-122.4076329 37.78618849)
2004-005,(6) Complete,8 McLea Court,8,McLea,Ct,94103,Rental,On-site BMR Project,06/17/2004,03/07/2007,2003.0889,http://propertymap.sfplanning.org/?search=2003.0889,"2003.0889C,2003.0889E",102,3,102,3,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,6,South of Market,South of Market,"South of Market, Western SoMa (EN)",0,0,0,0,37.77248531,-122.408559,POINT (-122.408559 37.77248531)
2012-022,(5) First Construction Document Issued,181 Fremont,181,Fremont,St,94107,Ownership,Fee Payment,12/06/2012,08/08/2017,2014.1399,http://propertymap.sfplanning.org/?search=2014.1399,"2014.1399W,2014.1399X",74,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,Financial District,Financial District/South Beach,"Downtown, Transbay, Transit Center District",0,0,0,0,37.78974893,-122.3952924,POINT (-122.3952924 37.78974893)
2011-008,(6) Complete,Potrero 1010,1000,16th,St,94107,Rental,On-site BMR Project,07/28/2011,05/18/2017,2003.0527,http://propertymap.sfplanning.org/?search=2003.0527,"2003.0527E,2003.0527E_3,2003.0527K,2003.0527K_3,2003.0527R,2003.0527S,2003.0527U,2003.0527X",453,91,453,91,0,0,0,22,32,37,0,0,0,0,91,0,0,0,0,0,0,10,South of Market,Mission Bay,Showplace Square/Potrero Hill (EN),0,0,0,0,37.76695071,-122.3968954,POINT (-122.3968954 37.76695071)
2015-035,(4) Site Work Permit Issued,75 Howard,75,Howard,St,94105,Unknown,Fee Payment,09/03/2015,10/24/2020,2011.1122,http://propertymap.sfplanning.org/?search=2011.1122,"2011.1122CND,2011.1122CUA,2011.1122E,2011.1122E_3,2011.1122K,2011.1122PPA,2011.1122R,2011.1122U,2011.1122V,2011.1122X,2011.1122Z",133,0,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,Financial District,Financial District/South Beach,"Downtown, Northeast Waterfront, Transit Center District",0,0,0,0,37.79107115,-122.3911444,POINT (-122.3911444 37.79107115)
2016-007,(5) First Construction Document Issued,2177 3rd  (aka 700 Illinois St),2177,03rd,St,94107,Ownership,On-site BMR Project/Fee Payment,07/20/2017,02/25/2020,2013.0784,http://propertymap.sfplanning.org/?search=2013.0784,"2013.0784CND,2013.0784E,2013.0784K,2013.0784U,2013.0784X",114,8,114,8,0,0,0,1,4,3,0,0,0,0,0,0,0,8,0,0,0,10,Potrero Hill,Potrero Hill,Central Waterfront (EN),0,0,0,0,37.76223553,-122.388291,POINT (-122.388291 37.76223553)
2004-017,(6) Complete,829 Folsom,829,Folsom,St,94107,Unknown,Fee Payment,10/21/2004,07/01/2010,2003.0304,http://propertymap.sfplanning.org/?search=2003.0304,"2003.0304C,2003.0304E,2003.0304K,2003.0304V",69,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,South of Market,South of Market,"Central SoMa, East SoMa (EN), South of Market",0,0,0,0,37.78115482,-122.4016514,POINT (-122.4016514 37.78115482)
2016-050,(3) Design with Entitlements Approved,1200 17th,1200,17th,St,94107,Rental,Fee Payment,05/12/2016,05/11/2023,2011.1300,http://propertymap.sfplanning.org/?search=2011.1300,"2011.1300E,2011.1300K,2011.1300PPA,2011.1300U,2011.1300X",135,0,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,Potrero Hill,Mission Bay,Showplace Square/Potrero Hill (EN),0,0,0,0,37.76583663,-122.3956884,POINT (-122.3956884 37.76583663)
2003-006,(6) Complete,69 Clementina,69,Clementina,St,94105,Ownership,On-site BMR Project,02/27/2003,03/24/2006,2002.0812,http://propertymap.sfplanning.org/?search=2002.0812,"2002.0812C,2002.0812V,2002.0812X",18,2,18,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,6,Financial District,Financial District/South Beach,"Downtown, Transbay, Transit Center District",0,0,0,0,37.78641298,-122.3963725,POINT (-122.3963725 37.78641298)
2015-009,(5) First Construction Document Issued,150 Van Ness,150,Van Ness,Ave,94102,Rental,On-site BMR Project,04/02/2015,01/14/2019,2013.0973,http://propertymap.sfplanning.org/?search=2013.0973,"2013.0973C,2013.0973E,2013.0973U,2013.0973V,2013.0973X,2013.0973X_3",420,50,420,50,0,0,0,3,27,18,2,0,0,0,50,0,0,0,0,0,0,6,Downtown/Civic Center,Tenderloin,"Downtown, Market and Octavia",0,0,0,0,37.77713405,-122.4188229,POINT (-122.4188229 37.77713405)
